country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",14-12-2025 23:00,25.251013,86.989001,PM10,26,138,85
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",14-12-2025 23:00,25.251013,86.989001,OZONE,9,25,16
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",14-12-2025 23:00,11.654054,92.734055,OZONE,1,9,3
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",14-12-2025 23:00,16.5150833,80.5181667,SO2,1,26,5
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",14-12-2025 23:00,25.366336,87.117468,OZONE,19,30,24
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",14-12-2025 23:00,25.892357,86.590325,SO2,14,19,16
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",14-12-2025 23:00,25.892357,86.590325,OZONE,1,13,7
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",14-12-2025 23:00,25.859655,85.77944,NH3,1,1,1
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",14-12-2025 23:00,25.859655,85.77944,SO2,20,28,25
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",14-12-2025 23:00,25.859655,85.77944,CO,26,136,66
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",14-12-2025 23:00,24.952822,84.002396,PM10,82,202,132
India,Bihar,Patna,"Muradpur, Patna - BSPCB",14-12-2025 23:00,25.619651,85.147382,NO2,6,12,9
India,Bihar,Patna,"Muradpur, Patna - BSPCB",14-12-2025 23:00,25.619651,85.147382,NH3,4,5,5
India,Bihar,Patna,"Muradpur, Patna - BSPCB",14-12-2025 23:00,25.619651,85.147382,OZONE,4,23,15
